puma,total,studio,one_bed,two_bed,three_bed,four_bed,five_bed+
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",2232,2087,2430,2157,1961,3483,509
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",2533,2152,2941,2624,2569,2324,-
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",2157,1895,2525,1978,1888,1065,-
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",2250,1983,2365,2421,2604,1860,-
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",1239,1411,1190,1170,1239,1954,950
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",1444,1227,1297,1436,1635,1860,1405
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",1626,1341,1439,1584,2145,2537,1816
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",1249,1104,1110,1238,1574,1511,1393
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",1510,1008,1245,1433,1716,1817,2035
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",1043,778,1020,1013,1361,1392,1248
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",1529,1358,1466,1631,1811,2257,"3,500+"
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",1570,1180,1472,1656,1877,2054,-
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",1469,1168,1322,1529,1821,2141,2250
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",1394,1134,1231,1605,1893,2166,1163
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",1488,1178,1308,1525,1601,1700,-
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",1574,1505,1481,1672,2538,"3,500+",-
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",1508,1188,1342,1612,1927,-,2053
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",1517,1163,1406,1562,1890,2370,"3,500+"
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",1471,1122,1350,1506,1678,1750,2664
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",1219,1003,1009,1309,1701,1475,1691
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",1309,1071,1045,1348,1806,1456,-
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",1235,929,1172,1196,1821,1939,-
